KELP_ID,FTRCD,RA,RI,LOCATION,FEATURE,SPECIES,BIOMASS,DENSITY,KLPCMMNT,SOURCE1,PROJECT,GEOMETRY,OBJECTID,AREA_SQM,FEAT_LEN,X_COORDINATE,Y_COORDINATE
44,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808490,31261.9849,627.5753,,
45,,3,1,,KELP,,0,,,CHS 3994,NCOAST,,2808491,20761.7947,568.5263,,
46,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808492,28441.4217,637.2045,,
47,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808493,43321.8919,999.5157,,
48,,0,3,,,,0,,,,,,2808494,224.7043,68.0455,,
51,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808495,30718.3858,627.3888,,
53,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808496,31262.0629,627.5761,,
54,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808497,27255.7434,635.1993,,
57,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808498,31262.0452,627.5759,,
58,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808499,27797.7664,619.686,,
59,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808500,31262.0629,627.5761,,
60,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808501,31262.0812,627.5762,,
64,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808502,31262.0659,627.5761,,
70,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808503,36818.1199,845.0686,,
71,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808504,27067.9623,602.3555,,
72,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808505,31261.9998,627.5754,,
74,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808506,27997.7965,632.696,,
77,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808507,29492.9135,615.6964,,
79,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808508,29990.9702,620.658,,
81,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808509,31261.9939,627.5754,,
82,,3,1,,KELP,,0,,,CHS 3960,NCOAST,,2808510,10944.3078,481.3342,,
87,,0,3,Aranzazu Point,,Bull Kelp,19,Low,,,DUNDAS,,2808511,7073.1069,333.421,,
88,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808512,27311.0544,620.8604,,
90,,0,3,Aranzazu Point,,Bull Kelp,134,Low,,,DUNDAS,,2808513,47933.6124,1993.6528,,
91,,0,3,Aranzazu Point,,Bull Kelp,1000,Low,,,DUNDAS,,2808514,355873.0779,8868.9284,,
93,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808515,31128.8853,628.6106,,
94,,0,3,Aranzazu Point,,Bull Kelp,63,Low,,,DUNDAS,,2808516,22607.4679,705.4366,,
96,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808517,29260.1303,652.0806,,
97,,0,3,Aranzazu Point,,Bull Kelp,24,Low,,,DUNDAS,,2808518,8732.3704,392.314,,
98,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808519,62268.8653,1146.7053,,
99,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808520,31261.9998,627.5754,,
101,,0,3,Aranzazu Point,,Bull Kelp,29,High,,,DUNDAS,,2808521,4069.0133,287.6932,,
102,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808522,31262.0738,627.5762,,
103,,0,3,Aranzazu Point,,Bull Kelp,51,High,,,DUNDAS,,2808523,6998.5259,509.6468,,
104,,0,3,Aranzazu Point,,Bull Kelp,150,Low,,,DUNDAS,,2808524,53441.0534,1874.0249,,
105,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808525,26500.1827,616.3759,,
106,,0,3,Aranzazu Point,,Bull Kelp,469,High,,,DUNDAS,,2808526,63815.6914,3844.5176,,
171,,0,3,Aranzazu Point,,Bull Kelp,231,High,,,DUNDAS,,2808527,31490.2285,1342.8802,,
174,,0,3,Aranzazu Point,,Bull Kelp,5,Low,,,DUNDAS,,2808528,1898.2306,229.1444,,
175,,0,3,Zayas Island,,Bull Kelp,59,Low,,,DUNDAS,,2808529,21092.9049,1411.774,,
177,,0,3,Aranzazu Point,,Giant Kelp,2,Low,,,DUNDAS,,2808530,3590.3564,282.6928,,
179,,0,3,Zayas Island,,Bull Kelp,29,High,,,DUNDAS,,2808531,4006.205,249.7721,,
180,,0,3,Zayas Island,,Bull Kelp,19,Low,,,DUNDAS,,2808532,6760.7298,572.9463,,
181,,0,3,Zayas Island,,Bull Kelp,16,High,,,DUNDAS,,2808533,2202.5757,355.3133,,
182,,0,3,Zayas Island,,Bull Kelp,1,Low,,,DUNDAS,,2808534,380.8323,85.1019,,
183,,0,3,Aranzazu Point,,Giant Kelp,8,Low,,,DUNDAS,,2808535,12132.37,508.8503,,
107,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808436,25780.6757,589.529,,
108,,0,3,Aranzazu Point,,Bull Kelp,38,High,,,DUNDAS,,2808437,5189.6107,470.1248,,
109,,0,3,Aranzazu Point,,Bull Kelp,11,High,,,DUNDAS,,2808438,1555.1816,190.7957,,
111,,0,3,Aranzazu Point,,Bull Kelp,14,High,,,DUNDAS,,2808439,1976.3236,218.7381,,
113,,0,3,Aranzazu Point,,Bull Kelp,0,Low,,,DUNDAS,,2808440,130.8944,87.6678,,
117,,0,3,Aranzazu Point,,Bull Kelp,111,Low,,,DUNDAS,,2808441,39683.6345,1594.2091,,
118,,0,3,Zayas Island,,Bull Kelp,1,High,,,DUNDAS,,2808442,172.5164,62.6545,,
119,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808443,31262.0678,627.5761,,
120,,0,3,Aranzazu Point,,Giant Kelp,0,High,,,DUNDAS,,2808444,452.7217,92.039,,
124,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808445,27745.2404,626.0945,,
128,,0,3,Zayas Island,,Bull Kelp,273,High,,,DUNDAS,,2808446,37239.5246,2951.5142,,
130,,0,3,Zayas Island,,Bull Kelp,41,Low,,,DUNDAS,,2808447,14927.2875,903.8416,,
134,,0,3,Zayas Island,,Bull Kelp,321,High,,,DUNDAS,,2808448,43790.2844,1871.0505,,
135,,0,3,Aranzazu Point,,Bull Kelp,29,High,,,DUNDAS,,2808449,3981.2432,307.4556,,
136,,0,3,,,,0,,,,,,2808450,34388.3837,1003.328,,
